794024 Virginia Newman
9
ART426	3	3.7
CE132	3	3.3
CE275	3	3.3
CS165	4	-1
EE201	3	2.7
ENGL121	3	0.7
ENGL175	3	-1
MATH328	3	-1
MUS239	3	-1
935709 Kyle Gross
29
ART134	3	1
CE132	3	-1
CE212	3	3
CHEM149	3	3
CHEM225	3	4
CHEM310	3	2.7
CHEM387	3	3
CHEM406	3	3.3
CS454	3	3.3
ECON281	3	3
ECON438	3	1
EE361	3	3.3
ENGL225	3	4
ENGL338	3	3.7
ENGL351	3	2
ENGL444	3	3.7
HIST134	3	-1
HIST148	3	2.3
HIST329	3	2.7
HIST370	3	2.3
MATH128	3	-1
MATH150	3	3.3
MATH197	3	3.3
MATH328	3	3.3
ME193	3	3.3
MUS141	3	0.7
PHYS174	3	3.3
PHYS309	3	2.7
POL405	3	3.7
327340 Moses Tran
10
ART158	3	3
CE438	3	3
CHEM149	3	2
CS165	4	2.7
EE405	3	3.7
ENGL373	3	-1
ENGL431	3	-1
MUS358	3	-1
PHYS166	3	2.7
PSYCH233	3	4
514828 Brooklyn May
3
ECON438	3	3.7
ME334	3	3
PHYS174	3	3.3
942913 Michael Hale
7
ART159	3	3.3
CHEM387	3	2.7
CHEM406	3	-1
EE157	3	2
ENGL351	3	0
MATH128	3	1.7
POL443	3	1.3
689391 Natalie Nichols
25
CE132	3	3
CE435	3	-1
CE438	3	3.7
CS165	4	1
CS222	3	2
CS386	3	2.7
ECON201	3	2
ECON351	3	2
ECON458	3	3.3
EE405	3	3.3
ENGL418	3	4
ENGL431	3	2.3
ENGL440	3	3.3
ENGL444	3	0.7
MATH150	3	3
MATH197	3	0
MATH335	3	3
MATH368	3	4
ME208	3	-1
ME394	4	0.7
MUS239	3	2
PHYS166	3	1
POL198	3	3
PSYCH260	3	2
PSYCH454	3	3
447186 Katherine Williams
14
ART159	3	4
ART333	3	4
CE242	3	2.3
CHEM236	3	3.7
CHEM387	3	1.7
EE157	3	-1
ENGL431	3	4
HIST148	3	3
HIST257	3	2
MATH368	3	4
ME186	3	4
ME193	3	2.7
ME394	4	0.7
MUS304	3	3
216322 Casey Cunningham
20
ART158	3	4
ART333	3	3
CHEM230	3	3.7
CS319	3	2
EE260	3	3
ENGL121	3	3.3
ENGL338	3	1.7
ENGL351	3	1
ENGL418	3	2
HIST134	3	2.7
HIST290	3	2.7
HIST310	3	2.3
HIST370	3	1
ME186	3	-1
MUS371	3	4
MUS451	3	4
PHYS457	4	2.3
POL443	3	3.3
PSYCH154	3	2.7
PSYCH165	3	4
454865 Myles Chan
8
ART426	3	2.7
CE132	3	4
ECON458	3	2.7
HIST148	3	3.7
HIST370	3	0.7
ME298	3	3.3
PHYS309	3	3.7
POL443	3	2
236235 Tatum Jenkins
15
ART158	3	-1
ECON199	4	0
EE361	3	4
EE405	3	3.3
ENGL121	3	2.7
HIST148	3	2.3
MATH128	3	2.7
MATH150	3	3
ME208	3	3.3
ME334	3	1.7
MUS358	3	3.3
MUS371	3	1.7
PHYS309	3	2.7
PHYS457	4	4
PSYCH454	3	2
557473 Elise Burke
5
ART426	3	3.3
CHEM196	3	4
ENGL175	3	-1
ENGL338	3	0.7
ENGL373	3	1.3
624044 Bryan Manning
10
CE212	3	2.7
CHEM196	3	3
ECON201	3	3
EE405	3	3.3
ENGL175	3	-1
ENGL338	3	2.3
MUS358	3	4
POL405	3	1.7
PSYCH260	3	4
PSYCH454	3	3.3
772378 Skylar Moreno
9
ART158	3	3
CE212	3	2.7
CHEM236	3	0.7
ENGL175	3	2.7
HIST134	3	1.7
MATH307	3	1
ME298	3	-1
MUS141	3	3.7
PHYS166	3	0
640706 Chandler Payne
29
CE212	3	3.7
CE263	3	3
CE275	3	1.3
CE435	3	3.7
CE438	3	1
CHEM179	3	1.3
CHEM196	3	3
CHEM236	3	3.7
CHEM310	3	4
CS222	3	2
CS454	3	0.7
ECON458	3	2
EE284	3	2.7
EE361	3	0.7
ENGL175	3	3.7
ENGL347	3	4
ENGL373	3	4
ENGL418	3	1
ENGL444	3	2.7
HIST257	3	-1
HIST310	3	2.7
MATH150	3	0.7
ME193	3	0
ME298	3	-1
MUS358	3	2
PHYS109	3	4
PHYS166	3	3.3
PHYS174	3	3.3
PHYS457	4	1
268337 Logan Mccormick
3
ART331	3	2.7
CS386	3	2
HIST310	3	2.7
608244 Patricia Murray
12
CE212	3	2.3
CE435	3	2.7
CHEM225	3	3
ECON201	3	1.7
ENGL418	3	3
ENGL444	3	4
HIST329	3	2
MATH335	3	3.3
ME193	3	0.7
ME334	3	2.7
POL198	3	0
PSYCH260	3	-1
326983 Reese Thompson
20
ART161	3	-1
ART333	3	3.3
CE262	3	3.7
CS224	3	1.3
CS454	3	-1
ECON201	3	3
ECON281	3	-1
ECON438	3	3.7
ECON458	3	2.3
EE405	3	3
ENGL163	3	2.3
ENGL175	3	1.3
ENGL338	3	2.7
ENGL418	3	3
ENGL440	3	-1
HIST290	3	3
HIST370	3	0.7
PHYS109	3	2
PHYS174	3	4
PSYCH260	3	0.7
256292 Santiago Higgins
21
ART161	3	2.7
ART331	3	1.3
ART426	3	4
CE242	3	4
CE275	3	-1
CHEM230	3	4
CHEM387	3	3.3
CHEM408	3	3.7
CS222	3	3
ECON201	3	0
ECON438	3	2.7
ENGL121	3	-1
ENGL440	3	3.7
HIST148	3	2.7
HIST290	3	2.7
MATH128	3	-1
ME207	3	-1
MUS451	3	1
PHYS109	3	3
PHYS166	3	0.7
PSYCH260	3	2.3
511644 Lucy Baker
7
ART331	3	3.7
CS454	3	1.7
ENGL121	3	3
HIST329	3	3
MATH335	3	3.3
PSYCH165	3	1.7
PSYCH233	3	2.3
665263 Camron Martinez
10
ART331	3	1.7
CE275	3	-1
CHEM196	3	2.7
ECON372	3	3
ENGL418	3	3
ENGL440	3	-1
HIST257	3	3.3
MATH307	3	1.3
MUS141	3	3.3
PSYCH154	3	3.7
587325 Gabrielle Baker
18
ART134	3	3
CE132	3	2
CHEM236	3	3.7
CHEM408	3	2.3
EE157	3	2.7
ENGL225	3	3
ENGL418	3	0
ENGL440	3	0
MATH128	3	2.7
MATH197	3	2
ME186	3	2.3
ME193	3	3
ME207	3	3.7
ME394	4	1
PHYS166	3	1
PHYS309	3	0
POL443	3	3
PSYCH233	3	2.3
725388 James Crawford
26
ART331	3	2
CE132	3	-1
CE212	3	3
CE262	3	3.7
CHEM149	3	-1
CHEM225	3	2.7
CHEM310	3	2.7
CHEM408	3	0.7
CS285	3	3
ECON199	4	3.7
ECON281	3	4
ECON351	3	2
ECON438	3	2.3
ECON458	3	3.7
EE201	3	2.7
ENGL175	3	1.3
ENGL347	3	2.7
ENGL351	3	3
HIST329	3	2.3
HIST370	3	-1
MATH335	3	3.7
ME298	3	2.7
ME394	4	1.7
MUS304	3	3.3
PHYS174	3	4
PSYCH260	3	2
871690 Casey Hammond
24
ART134	3	3
ART158	3	2
CE132	3	1
CE275	3	2.7
CE438	3	3.3
CHEM236	3	4
CHEM406	3	1.3
CS454	3	3.3
ECON458	3	2.7
EE157	3	1
EE284	3	3
EE361	3	3.3
EE405	3	-1
EE450	3	2.3
ENGL163	3	2.3
ENGL373	3	4
HIST370	3	3.7
MATH128	3	2
MATH150	3	-1
ME186	3	2
PHYS174	3	1
PHYS309	3	2.3
PHYS457	4	2
POL198	3	3.7
514267 Alberto Phillips
6
ENGL121	3	0
ENGL347	3	3.7
HIST257	3	3.7
PHYS174	3	4
PHYS457	4	2.7
PSYCH260	3	-1
903120 Abraham Kim
19
ART158	3	2
CHEM149	3	4
CHEM225	3	2.7
CHEM310	3	4
CS165	4	3.7
CS224	3	3.3
EE260	3	3
ENGL121	3	4
ENGL225	3	3
HIST134	3	2.7
HIST310	3	3
HIST329	3	2
MATH128	3	3.7
MATH307	3	3.7
MATH368	3	2
MUS304	3	2.7
PHYS109	3	4
PHYS123	3	1.7
PHYS166	3	1.7
666450 Gerald Barrett
17
ART331	3	3.3
CE262	3	2.3
CE263	3	1
CHEM236	3	1.7
ECON351	3	3.7
ENGL121	3	3.3
ENGL163	3	1
ENGL373	3	3
ENGL444	3	4
MATH128	3	3.7
MATH307	3	3.7
MATH368	3	3
ME208	3	3.3
MUS239	3	3.7
MUS451	3	2.7
PHYS457	4	3
PSYCH154	3	-1
884871 Erica Richardson
7
CE242	3	2.3
EE157	3	3.7
ENGL338	3	-1
ENGL444	3	4
HIST329	3	2.3
MATH307	3	3.3
PSYCH154	3	-1
435866 Courtney Pierce
30
ART158	3	3.7
ART161	3	4
CE242	3	2.3
CE262	3	3
CE438	3	2.7
CHEM149	3	1
CHEM236	3	3.7
CHEM408	3	2.3
CS454	3	2.3
ECON201	3	4
ECON458	3	3.3
EE201	3	3
EE405	3	-1
EE450	3	3.3
ENGL175	3	3.7
ENGL347	3	3.3
ENGL418	3	1
ENGL431	3	0
HIST257	3	3.7
HIST290	3	4
HIST310	3	3
MATH307	3	3.7
MATH328	3	2.3
ME193	3	3.3
MUS239	3	4
MUS371	3	2.3
PHYS109	3	1.3
PHYS123	3	3
PHYS174	3	3.7
PSYCH154	3	-1
288305 Dillon Hansen
17
ART161	3	3.3
CE132	3	2.7
CHEM230	3	4
CS285	3	2.7
CS386	3	4
CS454	3	3.3
EE201	3	4
EE260	3	1.3
EE405	3	4
EE450	3	1.3
ENGL444	3	-1
